Date,Description,Cleaned_Description,Cleaned_Description_1,Amount,Balance
11/22/2024,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,Mcm Leasing,Paycheck,"$1,248.38","$7,071.28"
11/22/2024,XX8062 POS PURCHASE RACETRAC122 MARIETTA GA 46776408 021789,Racetrac,Racetrac,-$31.27,"$7,040.01"
11/22/2024,ACCT INTEGRATORS Assn Dues 242173,Acct Integrators,HOA Fee,-$1.99,"$7,038.02"
11/22/2024,RIVER PARK RP OnlinePay 242173,River Park,River Park,-$115.00,"$6,923.02"
11/25/2024,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,Zelle To,Piano,-$45.00,"$6,878.02"
11/25/2024,XX8062 POS PURCHASE QT 805 INSIDE ATLANTA GA 00000000 046485,Qt,QT,-$4.70,"$6,873.32"
11/25/2024,XX8062 POS PURCHASE QT 781 WOODSTOCK GA 00000000 046400,Qt,QT,-$6.62,"$6,866.70"
11/25/2024,XX8062 POS PURCHASE TURNERTECH CAFE ATLANTA GA 00000000 014020,Turnertech Cafe,CNN,-$7.51,"$6,859.19"
11/25/2024,XX8062 POS PURCHASE WENDYS #78 WOODSTOCK GA 22166002 375207,Wendys,Wendy's,-$9.74,"$6,849.45"
11/25/2024,XX8062 POS PURCHASE CHICK-FIL-A #008 770-421-8650 GA 1 036175,Chick,Chik-fil-a,-$13.01,"$6,836.44"
11/25/2024,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043014 514855,Kroger,Kroger,-$23.61,"$6,812.83"
11/26/2024,XX8062 POS PURCHASE PAPA JOHN'S #514 187-754-7727 GA 00000000 053912,Papa John,Papa John,-$13.56,"$6,799.27"
11/27/2024,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043014 014562,Kroger,Kroger,-$26.92,"$6,772.35"
11/29/2024,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,Mcm Leasing,Paycheck,"$1,254.59","$8,026.94"
11/29/2024,XX8062 POS PURCHASE XFINITY MOBILE 888-936-4968 PA 00000000 029337,Xfinity Mobile,Xfinity,-$57.34,"$7,969.60"
12/02/2024,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,Zelle To,Piano,-$45.00,"$7,924.60"
12/02/2024,XX8062 POS PURCHASE LINODE . AKAMAI 609-380-7100 MA 00000000 033526,Linode,Linode,-$7.00,"$7,917.60"
12/02/2024,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043012 512408,Kroger,Kroger,-$9.22,"$7,908.38"
12/02/2024,XX8062 POS PURCHASE MARCOS PIZZA - 8 678-631-7242 GA 73108180 008180,Marcos Pizza,Marcos Pizza,-$13.77,"$7,894.61"
12/02/2024,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043010 510859,Kroger,Kroger,-$16.23,"$7,878.38"
12/02/2024,XX8062 POS PURCHASE BUC-EE'S #52 CALHOUN GA 00000000 005095,Buc,Buc-ee's,-$25.30,"$7,853.08"
12/02/2024,XX8062 POS PURCHASE BUC-EE'S #52 CALHOUN GA 101 433513034010,Buc,Buc-ee's,-$41.27,"$7,811.81"
12/02/2024,XX8062 POS PURCHASE TACO MAC 27 CANTON GA 40928916 034203,Taco Mac,Taco Mac,-$49.05,"$7,762.76"
12/02/2024,PAYPAL INST XFER PATREON MEMBER,Paypal Inst,TTF,-$21.20,"$7,741.56"
12/03/2024,XX8062 POS PURCHASE TURNERTECH CAFE ATLANTA GA 00000000 019634,Turnertech Cafe,CNN,-$0.93,"$7,740.63"
12/03/2024,XX8062 POS PURCHASE TURNERTECH CAFE ATLANTA GA 00000000 014040,Turnertech Cafe,CNN,-$6.59,"$7,734.04"
12/03/2024,RIVER PARK RP OnlinePay 242607,River Park,River Park,-$50.00,"$7,684.04"
12/04/2024,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043014 514235,Kroger,Kroger,-$13.24,"$7,670.80"
12/04/2024,XX8062 POS PURCHASE QT 781 OUTSIDE WOODSTOCK GA 001 945835,Qt,QT,-$31.06,"$7,639.74"
12/05/2024,XX8062 MT DDA CREDIT CASH APP*LANA BU Oakland CA 1 705395,Xx,Cash App +,$150.00,"$7,789.74"
12/05/2024,RIVERS EDGE VILL OnlinePay 243541,Rivers Edge,Rivers Edge,-$140.00,"$7,649.74"
12/06/2024,MCM LEASING LLC PAYROLL 0SL96 37910PNC3,Mcm Leasing,Paycheck,$324.53,"$7,974.27"
12/06/2024,XX8062 POS PURCHASE CHICK-FIL-A #032 770-592-4755 GA 1 006202,Chick,Chik-fil-a,-$5.18,"$7,969.09"
12/06/2024,XX8062 POS PURCHASE WENDYS #78 WOODSTOCK GA 22166002 642556,Wendys,Wendy's,-$8.68,"$7,960.41"
12/06/2024,XX8062 POS PURCHASE THE HOME DEPOT # HOLLY SPRINGS GA 00000000 023464,The Home,Home Depot,-$35.59,"$7,924.82"
12/06/2024,XX8062 POS PURCHASE SLICE*SAPORITOSP SLICELIFE.COM NY OIWK9ICL 012036,Slice,Saporito's,-$41.35,"$7,883.47"
12/09/2024,Zelle To ELDRIDGE MUSIC ACADEMY LLC . +1-800-274-4482,Zelle To,Piano,-$45.00,"$7,838.47"
12/09/2024,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043014 014611,Kroger,Kroger,-$11.12,"$7,827.35"
12/09/2024,XX8062 POS PURCHASE PAPA JOHN'S #514 187-754-7727 GA 36841216 041216,Papa John,Papa John,-$11.65,"$7,815.70"
12/09/2024,XX8062 POS PURCHASE OPENAI *CHATGPT HTTPSOPENAI.C CA 7N3QWJUF 018350,Openai,Chat GPT,-$20.00,"$7,795.70"
12/09/2024,XX8062 POS PURCHASE KROGER #430 WOODSTOCK GA 40043013 513843,Kroger,Kroger,-$27.91,"$7,767.79"
12/09/2024,XX8062 POS PURCHASE NUEVOS AMIGOS CO CANTON GA 00000000 035015,Nuevos Amigos,Nuevos Amigos,-$31.18,"$7,736.61"
12/09/2024,GPC GPC EFT XXXXXX9366CTN,Gpc Gpc,Electricity,-$239.86,"$7,496.75"
12/10/2024,XX8062 POS PURCHASE TACO BELL 732577 678-905-3291 GA 7325003 014967,Taco Bell,Taco Bell,-$3.17,"$7,493.58"
12/10/2024,XX8062 POS PURCHASE QT 781 WOODSTOCK GA 00000000 058102,Qt,QT,-$6.62,"$7,486.96"
12/10/2024,XX8062 POS PURCHASE WENDYS #78 WOODSTOCK GA 22166002 720715,Wendys,Wendy's,-$7.62,"$7,479.34"
12/11/2024,VENMO CASHOUT 1038862497117,Venmo Cashout,Venmo Cashout,$500.00,"$7,979.34"
