Date,Other,Paycheck,Buckys,CNN,Cell Phone,Chik,Comcast,Georgia Power,HOA,HOA fee,Kroger,Linode,Marcos,Papa Johns,Patreon,Piano Lessons,Quik Trip,Racetrac,Taco Mac,Walmart,Wendys
01-02-2025,,,,,,,,,,,-16.39,-7.0,,-7.41,-21.2,,,,,,
01-03-2025,,689.0,,,,,,,,,-24.25,,,,,,,,,,-11.32
01-06-2025,,,,,,-7.82,,,,,-37.68,,,,,-45.0,,-3.18,,,
01-07-2025,,,,,,,,,,,,,,,,,-2.47,,,,
01-08-2025,,,,,,,,,,,-18.32,,,,,,,,,,
01-09-2025,300.0,,,,,,,-273.04,,,,,,,,,-22.020000000000003,,,,
01-10-2025,5.0,152.58,,,,,,,,,-12.32,,,-11.65,,,-5.59,,,,
01-13-2025,,,,,,,,,,,,,,,,-45.0,-33.15,,-23.0,,
01-14-2025,500.0,,,,,,,,,,,,,,,,,,,,
01-15-2025,0.05,,,,,,,,,,-31.25,,,,,,-9.82,,,,
01-16-2025,,,,,,,,,,,,,,,,,-8.350000000000001,,,,
01-17-2025,500.0,769.07,,,,,,,,,-13.83,,,,,,,,,,
01-21-2025,,,,,,-4.12,-70.0,,,,-13.03,,,-13.77,,-45.0,-23.24,,,-82.31,
01-22-2025,20.0,,,,,,,,,,,,,,,,,,,,
01-23-2025,,,,,,,,,,,,,,,,,-34.73,,,,-6.56
01-24-2025,,857.76,,,,,,,,,,,,,,,,,,,
01-27-2025,,,,,,,,,,,-41.93,,,,,-45.0,-12.74,,,,
01-28-2025,,,,,-57.35,,,,,,,,,,,,-3.17,,,,
01-29-2025,,,,,,,,,,,-55.44,,,,,,,,,,-6.56
01-31-2025,,376.74,,,,,,,,,,,,,,,-3.2,,,,
02-03-2025,,,,,,,,,,,-43.36,-14.0,,,-21.2,-45.0,-38.94,,,,
02-04-2025,,,,,,,,,,,,,,,,,-4.84,,,,
02-05-2025,,,,,,,,,,,-26.79,,,,,,,,,,
02-06-2025,300.0,,,,,,,,,,,,,,,,-9.05,,,,-6.56
02-07-2025,,417.13,,,,,,-393.02,,-3.98,-25.939999999999998,,,,,,-3.17,,,-14.76,
02-10-2025,,,,,,-4.12,,,,,-12.27,,,-7.62,,-45.0,-64.46000000000001,,,,
02-11-2025,,,,,,,,,,,,,,,,,-3.22,,,,
02-13-2025,,,,,,-4.12,,,,,-34.3,,,,,,,,,,
02-14-2025,,1093.72,,,,,,,,,,,,,,,-3.17,,,,
02-18-2025,,,,,,,,,,,-107.05000000000001,,,,,-45.0,-30.08,-4.77,-18.77,,-3.18
02-19-2025,0.05,,,,,,,,,,-31.33,,,,,,,,,,
02-20-2025,,,,,,,,,,,,,,,,,-27.68,,,,
02-21-2025,,993.6,,,,,-70.0,,,,,,,,,,,,,,
02-24-2025,,,-60.99,,,-12.43,,,,,,,,-11.86,,-45.0,,,,-31.35,
02-25-2025,,,,,,,,,,,-31.43,,,,,,,,,,
02-26-2025,,,,,,,,,,,,,,,,,-3.2,,,,
02-28-2025,,936.36,,,-57.35,,,,,,-24.14,,,,,,,,,,
03-03-2025,,,,,,-4.12,,,,,,-7.09,,-24.53,-21.2,-45.0,-3.2,-44.74,,,
03-04-2025,,,,,,,,,,,,,,,,,-3.2,,,,
03-05-2025,,,,,,,,,,,,,,,,,,,,,
03-06-2025,,,,,,,,,,,-25.22,,,-8.68,,,,-3.56,,,
03-07-2025,,806.34,,,,,,,,,,,,,,,,,,,
03-10-2025,,,,,,,,-359.02,,,-24.93,,,,,-45.0,-27.58,,,,-6.24
03-11-2025,,,,,,,,,,,,,,,,,,,,,
03-12-2025,,,,,,-4.12,,,,,-35.31,,,,,,,-6.44,,,
03-13-2025,,,,,,,,,,,,,,,,,-3.17,-9.08,,,
03-14-2025,,767.58,,,,,,,,,-28.67,,,,,,,,,,
03-17-2025,,,,,,,,,,,-10.07,,,,,-45.0,-33.35,,,,
03-18-2025,,,,,,,,,,,,,,,,,,,,,
03-19-2025,0.03,,,,,,,,,,-34.9,,,,,,,,,,
03-20-2025,,,,,,-10.37,,,,,,,,,,,,,,,
03-21-2025,,1083.0,,,,,-129.0,,,,-16.48,,,,,,-74.27,,,,-6.56
11-22-2024,,1248.38,,,,,,,-115.0,-1.99,,,,,,,,-31.27,,,
11-25-2024,,,,-7.51,,-13.01,,,,,-23.61,,,,,-45.0,-11.32,,,,-9.74
11-26-2024,,,,,,,,,,,,,,-13.56,,,,,,,
11-27-2024,,,,,,,,,,,-26.92,,,,,,,,,,
11-29-2024,,1254.59,,,-57.34,,,,,,,,,,,,,,,,
12-02-2024,,,-66.57000000000001,,,,,,,,-25.450000000000003,-7.0,-13.77,,-21.2,-45.0,,,-49.05,,
12-03-2024,,,,-7.52,,,,,-50.0,,,,,,,,,,,,
12-04-2024,,,,,,,,,,,-13.24,,,,,,-31.06,,,,
12-05-2024,150.0,,,,,,,,,,,,,,,,,,,,
12-06-2024,,324.53,,,,-5.18,,,,,,,,,,,,,,,-8.68
12-09-2024,,,,,,,,-239.86,,,-39.03,,,-11.65,,-45.0,,,,,
12-10-2024,,,,,,,,,,,,,,,,,-6.62,,,,-7.62
